State,LGA,Site Name,Latitude,Longitude,Individuals
Adamawa,Demsa,Bille,9.263147,11.901162,552
Adamawa,Demsa,Bille,8.89807,12.3030361,480
Adamawa,Demsa,Gejembo,9.26549,11.899502,252
Adamawa,Demsa,Tikka,9.556226,12.253704,480
Adamawa,Demsa,Borrong B,9.535633,12.175444,2226
Adamawa,Demsa,Borrong A,9.536868,12.180862,2418
Adamawa,Demsa,Lasala,9.56044,12.18448,426
Adamawa,Demsa,Borrong A,9.538987,12.178646,1308
Adamawa,Demsa,Demsa,9.456486,12.154671,348
Adamawa,Demsa,Demsa,9.42646,12.13402,774
Adamawa,Demsa,Kodomun,9.45753,12.22877,2190
Adamawa,Demsa,Kedemun,9.457918,12.229334,510
Adamawa,Demsa,Kwayine,9.39895,12.3643,660
Adamawa,Demsa,Mugarang,9.459728,12.177998,762
Adamawa,Demsa,Dilli,9.534999,12.161227,444
Adamawa,Demsa,Loh,9.50061,12.10531,420
Adamawa,Demsa,Dong,9.40498,11.93362,3174
Adamawa,Demsa,Dong,9.40353,11.91831,4764
Adamawa,Demsa,Lawaru,9.385248,11.938075,918
Adamawa,Demsa,Dwam,9.4528,12.06758,294
Adamawa,Demsa,Dwam Dakanta,9.45328,12.06498,312
Adamawa,Demsa,Gwamba,9.60258,12.19187,1830
Adamawa,Demsa,Sundi,9.60257,12.19183,1266
Adamawa,Demsa,Gwamba,9.61466,12.19273,1224
Adamawa,Demsa,Kpasham,9.30257,11.76324,1242
Adamawa,Demsa,Kpasham,9.30061,11.76293,834
Adamawa,Demsa,Bajiye I,9.30066,11.76239,960
Adamawa,Demsa,Mbula Kuli,9.51105,12.1929,348
Adamawa,Demsa,Bajifang,9.51182,12.20143,378
Adamawa,Demsa,Nasarawo Demsa B,9.43301,12.13055,360
Adamawa,Demsa,Nasarawo Demsa,9.45024,12.04767,390
Adamawa,Demsa,Nassarawo Demsa (Dowaya),9.1746168,12.1954496,858
Adamawa,Fufore,Ang. Tike,9.06542,12.66419,113
Adamawa,Fufore,Panire,9.07023,12.66263,35
Adamawa,Fufore,Mararraban Wuro Ardo,9.15618,12.59884,187
Adamawa,Fufore,Gashiga,9.57651,12.9007,38
Adamawa,Fufore,Dadin Kowa,9.58291,12.91652,32
Adamawa,Fufore,Fattude Lawan,9.57978,12.91659,11
Adamawa,Fufore,Yelwa,9.5527,12.78224,35
Adamawa,Fufore,Wuro Ahi,9.21765,12.6543,169
Adamawa,Fufore,Mar Gire,9.21804,12.64191,93
Adamawa,Fufore,Fufore Camp,9.20771,12.67751,1068
Adamawa,Fufore,Wuro Ahi,9.21765,12.6543,387
Adamawa,Fufore,Wuro Kesum,9.09661,12.87983,101
Adamawa,Fufore,Ngongre,9.11495,12.8832,31
Adamawa,Fufore,Anguwan Tivi,9.10845,12.88559,105
Adamawa,Fufore,Wuro Yolde,9.11392,12.86973,51
