school_name,state,level,ownership,student_count,teacher_count,latitude,longitude,ward_code,address,status
Muhda Primary School,AD,Primary,Public,,,10.190825,13.240736,ADSGYL07,"Muhda Primary School, AD State, Nigeria",Unknown
Dakau Primary School,AD,Primary,Public,,,8.177709,11.970765,ADSTNG05,"Dakau Primary School, AD State, Nigeria",Unknown
Bulma Primary School,AD,Primary,Public,,,10.214025,13.357728,ADSGYL08,"Bulma Primary School, AD State, Nigeria",Unknown
Limawa Primary School,AD,Primary,Public,,,9.285299,12.4615543,ADSYLN07,"Limawa Primary School, AD State, Nigeria",Unknown
Zobodo Primary School Bafyau I,AD,Primary,Public,,,9.59515,11.84824,ADSLMR01,"Zobodo Primary School Bafyau I, AD State, Nigeria",Unknown
Morro Primary School,AD,Primary,Public,,,9.505706,12.274894,ADSDSA02,"Morro Primary School, AD State, Nigeria",Unknown
Kanjang Primary School,AD,Primary,Public,,,9.001957,11.92599,ADSMWA12,"Kanjang Primary School, AD State, Nigeria",Open
Hamalaire Primary School,AD,Primary,Public,,,8.88533,12.229074,ADSFUR06,"Hamalaire Primary School, AD State, Nigeria",Unknown
St Thomas Nursery and Primary School,AD,Primary,Faith Based,,,10.2644,13.28878,ADSGYL04,"St Thomas Nursery and Primary School, AD State, Nigeria",Unknown
Bakuru Kindam Primary School,AD,Primary,Public,,,9.348547,12.105272,ADSDSA06,"Bakuru Kindam Primary School, AD State, Nigeria",Unknown
Didango Primary School Didango,AD,Primary,Public,,,9.744506,12.608643,ADSSNG08,"Didango Primary School Didango, AD State, Nigeria",Unknown
Malkohi Prmary School,AD,Primary,Public,,,9.189686,12.375547,ADSYLA08,"Malkohi Prmary School, AD State, Nigeria",Unknown
Fadama Reke Primary School,AD,Primary,Public,,,10.228943,12.972699,ADSHNG01,"Fadama Reke Primary School, AD State, Nigeria",Unknown
Labbare Primary School,AD,Primary,Public,,,9.119771,12.056478,ADSMWA10,"Labbare Primary School, AD State, Nigeria",Open
