adm1_name,adm2_name
Adamawa,Demsa
Adamawa,Fufore
Adamawa,Ganye
Adamawa,Girei
Adamawa,Gombi
Adamawa,Guyuk
Adamawa,Hong
Adamawa,Jada
Adamawa,Lamurde
Adamawa,Madagali
Adamawa,Maiha
Adamawa,Mayo-Belwa
Adamawa,Michika
Adamawa,Mubi North
Adamawa,Mubi South
Adamawa,Numan
Adamawa,Shelleng
Adamawa,Song
Adamawa,Toungo
Adamawa,Yola North
Adamawa,Yola South
Borno,Abadam
Borno,Askira/Uba
Borno,Bama
Borno,Bayo
Borno,Biu
Borno,Chibok
Borno,Damboa
Borno,Dikwa
Borno,Gubio
Borno,Guzamala
Borno,Gwoza
Borno,Hawul
Borno,Jere
Borno,Kaga
Borno,Kala/Balge
Borno,Konduga
Borno,Kukawa
Borno,Kwaya Kusar
Borno,Mafa
Borno,Magumeri
Borno,Maiduguri
Borno,Marte
Borno,Mobbar
Borno,Monguno
Borno,Ngala
Borno,Nganzai
Borno,Shani
Yobe,Bade
Yobe,Bursari
Yobe,Damaturu
Yobe,Fika
Yobe,Fune
Yobe,Geidam
Yobe,Gujba
Yobe,Gulani
Yobe,Jakusko
Yobe,Karasuwa
Yobe,Machina
Yobe,Nangere
Yobe,Nguru
Yobe,Potiskum
Yobe,Tarmuwa
Yobe,Yunusari
Yobe,Yusufari
