id,relid,year,active_year,code_status,type_of_violence,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,priogrid_gid,country,iso3,country_id,region,event_clarity,date_prec,deaths
15960,NIG-2009-1-793-1,2009,TRUE,Clear,1,Maiduguri town,Maiduguri town,Borno state,Maiduguri lga,11.84644,13.160274,146547,Nigeria,NGA,475,Africa,1,1,0
15970,NIG-2009-1-793-4,2009,TRUE,Clear,1,Maiduguri town,Maiduguri town,Borno state,Maiduguri lga,11.84644,13.160274,146547,Nigeria,NGA,475,Africa,2,2,203
17161,NIG-2009-1-793-5.1,2009,TRUE,Clear,1,Yobe state,Yobe state,Yobe state,,12,11.5,147264,Nigeria,NGA,475,Africa,2,2,12
17167,NIG-2009-1-793-3,2009,TRUE,Clear,1,Potiskum town,Potiskum town,Yobe state,Potiskum lga,11.7091,11.0694,146543,Nigeria,NGA,475,Africa,1,2,1
15720,NIG-2009-1-793-5.2,2009,TRUE,Clear,1,Bauchi state,Bauchi state,Bauchi state,,10.5,10,145101,Nigeria,NGA,475,Africa,2,2,11
15733,NIG-2009-1-793-2,2009,TRUE,Clear,1,Bauchi town,Bauchi town,Bauchi state,Bauchi lga,10.313441,9.843273,144380,Nigeria,NGA,475,Africa,1,1,42
13989,NIG-2009-1-793-7.4,2009,TRUE,Clear,1,Yobe state,Yobe state,Yobe state,,12,11.5,147264,Nigeria,NGA,475,Africa,2,1,0
13891,NIG-2009-1-793-7.3,2009,TRUE,Clear,1,Borno state,Borno state,Borno state,,11.5,13,146547,Nigeria,NGA,475,Africa,1,1,0
13900,NIG-2009-1-793-7.1,2009,TRUE,Clear,1,Adamawa state,Adamawa state,Adamawa state,,9.333333,12.5,142946,Nigeria,NGA,475,Africa,1,1,0
15964,NIG-2009-1-793-11,2009,TRUE,Clear,1,Maiduguri town,Maiduguri town,Borno state,Maiduguri lga,11.84644,13.160274,146547,Nigeria,NGA,475,Africa,2,2,0
16389,NIG-2009-1-793-7.2,2009,TRUE,Clear,1,Kano state,Kano State,Kano state,,11.5,8.5,146538,Nigeria,NGA,475,Africa,2,1,0
16411,NIG-2009-1-793-6,2009,TRUE,Clear,1,Wudil town,Wudil town,Kano state,Wudil lga,11.810671,8.84505,146538,Nigeria,NGA,475,Africa,1,1,3
17168,NIG-2009-1-793-8,2009,TRUE,Clear,1,Potiskum town,Potiskum town (Hawan Malka area on the outskirts of),Yobe state,Potiskum lga,11.7091,11.0694,146543,Nigeria,NGA,475,Africa,1,1,43
15954,NIG-2009-1-793-10,2009,TRUE,Clear,1,Maiduguri town,Maiduguri town,Borno state,Maiduguri lga,11.84644,13.160274,146547,Nigeria,NGA,475,Africa,1,1,0
15958,NIG-2009-1-793-9,2009,TRUE,Clear,1,Maiduguri town,Maiduguri town,Borno state,Maiduguri lga,11.84644,13.160274,146547,Nigeria,NGA,475,Africa,1,1,90
17162,NIG-2010-1-793-1,2010,FALSE,Clear,1,Yobe state,Yobe state,Yobe state,,12,11.5,147264,Nigeria,NGA,475,Africa,1,4,0
15629,NIG-2010-1-793-2,2010,FALSE,Clear,1,Northern Nigeria,Northern Nigeria,,,11.5,8.5,146538,Nigeria,NGA,475,Africa,2,5,0
15972,NIG-2010-1-793-6,2010,FALSE,Clear,1,Maiduguri town,Maiduguri town,Borno state,Maiduguri lga,11.84644,13.160274,146547,Nigeria,NGA,475,Africa,2,5,3
15967,NIG-2010-1-793-4,2010,FALSE,Clear,1,Maiduguri town,Maiduguri town,Borno state,Maiduguri lga,11.84644,13.160274,146547,Nigeria,NGA,475,Africa,1,1,2
17165,NIG-2010-1-793-3,2010,FALSE,Clear,1,Damaturu lga,Damaturu LGA,Yobe state,Damaturu lga,11.747,11.9608,146544,Nigeria,NGA,475,Africa,1,1,0
15760,NIG-2010-1-793-5,2010,FALSE,Clear,1,Bauchi town,Bauchi town (central prison),Bauchi state,Bauchi lga,10.313441,9.843273,144380,Nigeria,NGA,475,Africa,1,1,4
15742,NIG-2010-1-793-7,2010,FALSE,Clear,1,Bauchi town,Bauchi town,Bauchi state,Bauchi lga,10.313441,9.843273,144380,Nigeria,NGA,475,Africa,1,1,2
15980,NIG-2010-1-793-8,2010,FALSE,Clear,1,Maiduguri town,Maiduguri town (outskirts of),Borno state,Maiduguri lga,11.84644,13.160274,146547,Nigeria,NGA,475,Africa,1,1,0
17166,NIG-2010-1-793-9,2010,FALSE,Clear,1,Bara town,Bara town,Yobe state,Gulani lga,10.936778,11.684809,145104,Nigeria,NGA,475,Africa,1,1,1
15957,NIG-2010-1-793-10,2010,FALSE,Clear,1,Maiduguri town,Maiduguri town,Borno state,Maiduguri lga,11.84644,13.160274,146547,Nigeria,NGA,475,Africa,1,1,0
15974,NIG-2010-1-793-11,2010,FALSE,Clear,1,Maiduguri town,Maiduguri town (Bulunkutu area),Borno state,Maiduguri lga,11.84644,13.160274,146547,Nigeria,NGA,475,Africa,1,1,0
15965,NIG-2010-1-793-12,2010,FALSE,Clear,1,Maiduguri town,Maiduguri town,Borno state,Maiduguri lga,11.84644,13.160274,146547,Nigeria,NGA,475,Africa,1,1,0
15969,NIG-2010-1-793-13,2010,FALSE,Clear,1,Maiduguri town,Maiduguri town,Borno state,Maiduguri lga,11.84644,13.160274,146547,Nigeria,NGA,475,Africa,1,1,3
15961,NIG-2010-1-793-14,2010,FALSE,Clear,1,Maiduguri town,Maiduguri town,Borno state,Maiduguri lga,11.84644,13.160274,146547,Nigeria,NGA,475,Africa,1,1,0
